figure_id,category,label,value,value_label,comparator_value,comparator_label,unit,direction,affected,plain_language,source_page,headline,section
fig-maternal-share,Scale,Women’s hospital deaths that were maternal,5.0,"1,987 of 40,052 women",100,all women aged 15-49 who died,% of deaths,Share,general public,"Of every 100 women aged 15-49 who died in these hospitals, 5 died from pregnancy or childbirth.",5,yes,who-died
fig-direct-share,Causes,Deaths from direct obstetric causes,83.8,direct causes,16.2,indirect causes,% of maternal deaths,Direct,policymakers,Five in six maternal deaths came from direct causes of pregnancy and birth; the rest from conditions like anaemia and heart disease.,1,,causes
cause-eclampsia,Causes,Eclampsia,34.0,669 deaths,100,all maternal deaths,% of maternal deaths,Leading,hospitals,"Eclampsia - dangerously high blood pressure with seizures in pregnancy - was the single biggest killer, and it hit the youngest women hardest.",1,yes,causes
cause-haemorrhage,Causes,Obstetric haemorrhage,24.6,488 deaths,100,all maternal deaths,% of maternal deaths,Rising,hospitals,"Heavy bleeding around birth was the second leading cause, and its share rose over the decade.",1,,causes
cause-sepsis,Causes,Maternal sepsis,16.7,336 deaths,100,all maternal deaths,% of maternal deaths,Direct,hospitals,"Infection around pregnancy and birth caused about 1 in 6 deaths, often alongside unsafe abortion.",1,,causes
cause-abortion,Causes,Abortion-related,10.8,215 deaths,100,all maternal deaths,% of maternal deaths,Falling,policymakers,Complications of abortion caused about 1 in 9 deaths; the share eased slightly over the ten years.,1,,causes
cause-ruptured,Causes,Ruptured uterus,7.1,140 deaths,100,all maternal deaths,% of maternal deaths,Direct,hospitals,"A ruptured womb, usually from obstructed labour, caused about 1 in 14 deaths and was more common in older women.",1,,causes
cause-anaemia,Causes,Anaemia (indirect),14.9,295 deaths,100,all maternal deaths,% of maternal deaths,Indirect,general public,"Severe anaemia was the leading indirect cause, and was closely tied to deaths from bleeding.",8,,causes
cause-cardio,Causes,Cardiovascular (indirect),14.0,274 deaths,100,all maternal deaths,% of maternal deaths,Rising,general public,"Heart and blood-vessel problems caused about 1 in 7 deaths, and rose sharply over the decade.",8,,causes
fig-mmr,Trends,"Hospital death rate, 2006 to 2015",57.94,2015,40.24,2006,"per 100,000 births",Rising,policymakers,"The hospital maternal death rate climbed by more than 40% over the decade, peaking in 2011.",7,yes,trends
fig-haem-trend,Trends,"Haemorrhage share, first half vs second",27,2011-2015,21,2006-2010,% of maternal deaths,Rising,hospitals,"Bleeding claimed a growing share of deaths, rising from 21% in the first five years to 27% in the second.",11,,trends
fig-teen-trend,Trends,"Teenage-mother deaths, first half vs second",11.1,2011-2015,17.8,2006-2010,% of maternal deaths,Falling,general public,"Deaths among mothers aged 15-19 fell markedly, from 17.8% of maternal deaths to 11.1%.",7,,who-died
fig-age2034,Scale,Deaths among women aged 20-34,67.1,aged 20-34,100,all maternal deaths,% of maternal deaths,Share,general public,Two thirds of the women who died were aged 20-34 - the years when most births happen.,5,,who-died
