id,title,year,journal,theme,layer,setting,url,relevance,slug,tier,has_explainer
1,"Tanzania's Countdown to 2015: a comprehensive assessment of reproductive, maternal, newborn and child health interventions and outcomes",2015,Lancet Global Health,RMNCH / national synthesis,quality-systems,National / Tanzania,https://www.sciencedirect.com/science/article/pii/S2214109X15000595,10,tanzanias-countdown-to-2015-a-comprehensive-assessment-of,1,
2,Magnitude of maternal and neonatal mortality in Tanzania: A systematic review,2015,International Journal of Gynecology & Obstetrics,Maternal & neonatal mortality / systematic review,maternal-mortality,National + subnational,https://pubmed.ncbi.nlm.nih.gov/25979118/,10,magnitude-of-maternal-and-neonatal-mortality-in-tanzania,1,
3,Outcomes of a Program to Reduce Birth-Related Mortality in Tanzania,2025,New England Journal of Medicine,Maternal & newborn intervention / randomized implementation,interventions,"30 facilities, 5 regions",https://pubmed.ncbi.nlm.nih.gov/40009803/,10,outcomes-of-a-program-to-reduce-birth-related,4,
4,Patterns and causes of hospital maternal mortality in Tanzania: A 10-year retrospective analysis,2019,PLOS ONE,Maternal mortality / causes,maternal-mortality,34 public hospitals,https://pmc.ncbi.nlm.nih.gov/articles/PMC6456219/,10,hospital-maternal-mortality,2,yes
5,"Determinants of trends in neonatal, post-neonatal, infant, child and under-five mortalities in Tanzania from 2004 to 2016",2019,BMC Public Health,Child mortality / DHS determinants,child-mortality,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC6734430/,10,determinants-of-trends-in-neonatal-post-neonatal-infant,1,
6,Verbal/social autopsy analysis of causes and determinants of under-5 mortality in Tanzania,2020,Journal of Global Health,Under-five mortality / social autopsy,child-mortality,National / DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC7699006/,9,verbal-social-autopsy-analysis-of-causes-and-determinants,,
7,"Trends, patterns and cause-specific neonatal mortality in Tanzania: a hospital-based retrospective survey",2020,International Health,Neonatal mortality / causes,neonatal-perinatal,35 hospitals,https://pmc.ncbi.nlm.nih.gov/articles/PMC8253992/,10,trends-patterns-and-cause-specific-neonatal-mortality-in,2,
8,Causes of maternal deaths and delays in care: comparison between routine MDSR and an obstetrician expert panel in Tanzania,2020,BMC Pregnancy and Childbirth,Maternal death surveillance / data quality,quality-systems,2 regions,https://pmc.ncbi.nlm.nih.gov/articles/PMC7336440/,10,causes-of-maternal-deaths-and-delays-in-care,3,
9,Safer Births Bundle of Care: implementation/evaluation study,2023,BMC / open-access literature,Maternal & newborn quality improvement,interventions,"30 facilities, 5 regions",https://pmc.ncbi.nlm.nih.gov/articles/PMC9955319/,10,safer-births-bundle-of-care-implementation-evaluation-study,4,
10,Costs and cost-effectiveness of the Safer Births Bundle of Care,2026,PLOS ONE,Health economics / maternal-newborn intervention,interventions,Tanzania,https://pmc.ncbi.nlm.nih.gov/articles/PMC13123973/,9,costs-and-cost-effectiveness-of-the-safer-births,4,
11,"A Decade of Trends and Multilevel Determinants of Early Neonatal Mortality in Tanzania, 2010-2022",2025,Open-access / PubMed,Early neonatal mortality / DHS,neonatal-perinatal,National DHS,https://pmc.ncbi.nlm.nih.gov/articles/PMC12638714/,10,a-decade-of-trends-and-multilevel-determinants-of,1,
12,Availability and functioning of neonatal care units and neonatal mortality across five regions in Tanzania,2025,BMJ Global Health,Neonatal services / facility readiness,quality-systems,"127 CEmONC facilities, 5 regions",https://pmc.ncbi.nlm.nih.gov/articles/PMC12083422/,10,availability-and-functioning-of-neonatal-care-units-and,3,
13,Readiness to provide comprehensive emergency obstetric and neonatal care: a cross-sectional study in 30 health facilities in Tanzania,2024,BMJ / open access,CEmONC readiness / quality,quality-systems,"30 facilities, 5 regions",https://pmc.ncbi.nlm.nih.gov/articles/PMC11290101/,9,readiness-to-provide-comprehensive-emergency-obstetric-and-neonatal,3,
14,Health facility service availability and readiness to provide basic emergency obstetric and newborn care in a low-resource setting: evidence from a Tanzania National Survey,2019,BMJ Open,BEmONC / national facility readiness,quality-systems,"1,188 facilities",https://pmc.ncbi.nlm.nih.gov/articles/PMC6398731/,10,health-facility-service-availability-and-readiness-to-provide,3,
