figure_id,category,label,value,value_label,comparator_value,comparator_label,unit,direction,affected,plain_language,source_page,headline,section
fig-met,Overall,Facilities meeting the MCH quality standard,10.8,"280 of 2,583 facilities",100,the 80% standard,% of facilities,Gap,policymakers,Only about 1 in 10 primary health facilities scored the 80% needed to 'meet' the maternal & child health quality standard.,1,yes,scores
ind-mpdsr,Systems & audits,Maternal death reviews (MPDSR),79.6,"2,057 of 2,583",100,all assessed,% of facilities,Gap,hospitals,"The best-implemented indicator: most facilities ran maternal death reviews per national guidelines, though acting on what they find takes functional teams.",5,yes,scores
ind-impac,Systems & audits,Integrated management tools (IMPAC),56.8,"1,467 of 2,583",100,all assessed,% of facilities,Gap,hospitals,"Just over half had the essential checklists, charts and protocols for integrated management in pregnancy and childcare.",5,,scores
ind-fp,Screening & planning,Family planning to guidelines,48.3,"1,247 of 2,583",100,all assessed,% of facilities,Gap,general public,"Fewer than half followed family planning guidelines on method availability, informed choice and staff training.",5,,scores
ind-partogram,Antenatal & delivery,Partogram completed correctly,47.9,"1,238 of 2,583",100,all assessed,% of facilities,Gap,hospitals,A partogram tracks labour to catch danger signs early; fewer than half completed it correctly.,5,,scores
ind-immun,Newborn & child,Immunisation to guidelines,46.3,"1,197 of 2,583",100,all assessed,% of facilities,Gap,general public,"Under half met national immunisation standards, including cold-chain equipment and trained staff.",5,,scores
ind-imci,Newborn & child,Child growth monitoring (IMCI),40.8,"1,054 of 2,583",100,all assessed,% of facilities,Gap,general public,Four in ten offered quality child growth monitoring following IMCI guidelines.,5,,scores
ind-anc,Antenatal & delivery,Antenatal care to guidelines,40.1,"1,035 of 2,583",100,all assessed,% of facilities,Gap,general public,Only four in ten followed antenatal care guidelines across the seven routine ANC services checked.,5,,scores
ind-bcemonc-train,Antenatal & delivery,Staff trained in BEmONC/CEmONC,38.5,"995 of 2,583",100,all assessed,% of facilities,Gap,hospitals,Under 4 in 10 had a staff member trained in emergency obstetric and newborn care in the past two years.,5,,scores
ind-bcemonc-serv,Antenatal & delivery,BEmONC/CEmONC services provided,31.6,"816 of 2,583",100,all assessed,% of facilities,Gap,hospitals,"Fewer still actually provided the emergency obstetric and newborn signal functions, often because the equipment isn't there.",5,,scores
ind-meds,Antenatal & delivery,Emergency obstetric supplies available,16.4,"424 of 2,583",100,all assessed,% of facilities,Gap,policymakers,Only 1 in 6 facilities had the key obstetric medicines and supplies needed to manage childbirth emergencies.,5,,gaps
ind-pnc,Newborn & child,Postnatal & newborn care space,15.2,60 of 394 hospitals & health centres,100,hospitals & health centres,% of facilities,Gap,general public,"Among the 394 hospitals and health centres, only 60 offered postnatal and essential newborn care with dedicated neonatal and Kangaroo Mother Care space.",5,,gaps
ind-cervical,Screening & planning,Cervical cancer screening offered,7.7,"199 of 2,583",100,all assessed,% of facilities,Gap,general public,The single weakest area: fewer than 1 in 12 facilities offered cervical cancer screening and treatment.,5,yes,gaps
