facility_code,level,completeness_pct,months_reported,mean_nmr_21_23,nmr_2024,consistency_ratio,is_consistent,is_consistent_50,source_page
RRH1,RRH,80.8,97,79.87,90.43,1.13,yes,yes,"7,9,11"
RRH2,RRH,73.3,88,45.99,172.95,3.76,no,no,"7,9,11"
RRH3,RRH,78.3,94,31.31,24.5,0.78,yes,yes,"7,9,11"
RRH4,RRH,8.3,10,0.45,1.36,3.02,no,no,"7,9,11"
RRH5,RRH,70.0,84,39.76,124.56,3.13,no,no,"7,9,11"
RRH6,RRH,10.0,12,,28.15,,,,"7,9,11"
RRH7,RRH,67.5,81,56.38,89.4,1.59,no,no,"7,9,11"
RRH8,RRH,63.3,76,35.4,62.41,1.76,no,no,"7,9,11"
RRH9,RRH,50.8,61,31.6,48.23,1.53,no,no,"7,9,11"
RRH10,RRH,87.5,105,80.14,17.54,0.22,no,no,"7,9,11"
RRH11,RRH,34.2,41,7.3,10.25,1.40,no,yes,"7,9,11"
RRH12,RRH,60.0,72,34.49,3.12,0.09,no,no,"7,9,11"
RRH13,RRH,58.3,70,40.26,58.74,1.46,no,yes,"7,9,11"
RRH14,RRH,52.5,63,31.82,17.38,0.55,no,yes,"7,9,11"
RRH15,RRH,50.8,61,24.7,79.86,3.23,no,no,"7,9,11"
RRH16,RRH,85.0,102,61.82,83.32,1.35,no,yes,"7,9,11"
RRH17,RRH,8.3,10,7.1,4.89,0.69,yes,yes,"7,9,11"
RRH18,RRH,30.8,37,4.18,22.03,5.27,no,no,"7,9,11"
RRH19,RRH,73.3,88,23.58,41.05,1.74,no,no,"7,9,11"
RRH20,RRH,25.8,31,50.19,11.57,0.23,no,no,"7,9,11"
RRH21,RRH,11.7,14,,55.08,,,,"7,9,11"
RRH22,RRH,80.8,97,35.61,42.34,1.19,yes,yes,"7,9,11"
RRH23,RRH,49.2,59,33.94,58.87,1.73,no,no,"7,9,11"
RRH24,RRH,22.5,27,31.27,91.66,2.93,no,no,"7,9,11"
RRH25,RRH,85.0,102,96.96,129.27,1.33,yes,yes,"7,9,11"
RRH26,RRH,81.7,98,31.44,30.13,0.96,yes,yes,"7,9,11"
RRH27,RRH,95.0,114,82.99,108.47,1.31,yes,yes,"7,9,11"
RRH28,RRH,72.5,87,102.63,170.95,1.67,no,no,"7,9,11"
Tertiary1,Tertiary,5.8,7,4.35,4.55,1.05,yes,yes,"7,9,11"
Tertiary2,Tertiary,15.0,18,23.38,,,,,"7,9,11"
Tertiary3,Tertiary,73.3,88,101.69,83.18,0.82,yes,yes,"7,9,11"
Tertiary4,Tertiary,63.3,76,34.52,57.99,1.68,no,no,"7,9,11"
Tertiary5,Tertiary,50.0,60,5.7,8.87,1.56,no,no,"7,9,11"
Tertiary6,Tertiary,0.8,1,2.58,14.85,5.76,no,no,"7,9,11"
Tertiary7,Tertiary,50.0,60,56.41,66.46,1.18,yes,yes,"7,9,11"
