paper_id,topic_id
01,neonatal-mortality
01,perinatal-mortality
01,hmis-data-quality
01,mdsr
01,quality-of-care
02,quality-of-care
02,human-resources
02,equipment
02,hmis-data-quality
02,emergency-obstetric-care
02,kangaroo-mother-care
02,neonatal-resuscitation
02,antenatal-care
02,skilled-birth-attendance
02,postnatal-care
02,equity
02,tanzania-s-national-mnh-strategies
03,maternal-mortality
03,haemorrhage
03,eclampsia
03,sepsis
03,maternal-age
03,teenage-pregnancy
03,hmis-data-quality
03,mdsr
04,maternal-mortality
04,perinatal-mortality
04,haemorrhage
04,eclampsia
04,sepsis
04,obstructed-labour
04,maternal-age
04,antenatal-care
04,referral-systems
04,quality-of-care
04,emergency-obstetric-care
