term,definition,source_page
Severe maternal outcome (SMO),A woman who either died or nearly died from a pregnancy complication - a maternal death or a maternal near-miss.,2
Maternal near-miss (MNM),"A woman who survived a life-threatening complication in pregnancy, childbirth, or the weeks after.",2
Maternal death,"The death of a woman during pregnancy or within 42 days of its end, from a cause related to the pregnancy.",2
Case fatality rate,"The share of severe-outcome women who died - here, deaths divided by all near-miss-plus-death cases.",3
Institutional MMR,"Maternal deaths per 100,000 live births in a facility over a set period.",3
Perinatal mortality,Stillbirths plus deaths in the first week of life.,3
Postpartum haemorrhage (PPH),"Heavy, dangerous bleeding after childbirth.",5
Antepartum haemorrhage (APH),"Bleeding from the birth canal before delivery, in later pregnancy.",5
Hypertensive disorders,"High blood pressure in pregnancy, including pre-eclampsia and eclampsia.",5
Per-protocol management,"Care that follows the agreed emergency treatment steps, delivered by a skilled team.",7
BEmONC,Basic Emergency Obstetric and Newborn Care - the core services for handling birth emergencies.,7
Parity,The number of times a woman has given birth before.,4
