term,definition,source_page
MCH,"Maternal and child health: care for mothers before, during and after pregnancy, and for young children.",1
PHC,"Primary health care: the first level of the health system: dispensaries, health centres and council hospitals.",3
Star Rating Assessment,SRA: a nationwide programme (from 2015) that scores Tanzanian facilities on the quality of their services.,3
ANC,Antenatal care: routine check-ups and services during pregnancy.,2
BEmONC,Basic Emergency Obstetric and Newborn Care: core life-saving procedures for childbirth complications.,2
CEmONC,Comprehensive Emergency Obstetric and Newborn Care: BEmONC plus surgery (caesarean) and blood transfusion.,2
MPDSR,Maternal and Perinatal Death Surveillance and Response: reviewing each death to prevent the next.,5
IMPAC,"Integrated Management of Pregnancy and Childbirth: standard checklists, charts and protocols.",5
IMCI,Integrated Management of Childhood Illness: guidelines for assessing and treating sick children.,5
Partogram,A chart used during labour to track progress and spot danger signs early.,5
KMC,Kangaroo Mother Care: skin-to-skin care that keeps small or premature babies warm.,5
PNC,Postnatal care: care for mother and baby in the days and weeks after birth.,5
HFMT,Health Facility Management Team: the group that runs and oversees a facility.,6
QIT,Quality Improvement Team: a facility team tasked with monitoring and improving care.,6
AOR,"Adjusted odds ratio: how much more (or less) likely an outcome is, after accounting for other factors.",6
Dispensary,"The lowest-level facility, offering outpatient services to about 10,000 people.",3
Health centre,"A mid-level facility serving a larger population, with some inpatient care.",3
